Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
236376033147128,Your Body is Your Strad,These ads ran without a disclaimer,≤100
100889924725098,John McCarthy: Republican State Committee,John McCarthy: Republican State Committee,≤100
518126341591121,Moderate Party .net,Peter Burkindine,≤100
114357739930335,Lindsey for Colorado,Lindsey For Colorado,≤100
196021640986783,Cristina Tzintzun Ramirez,CRISTINA FOR TEXAS,48959
1669478099957076,State Representative Dan Flynn,Dan Flynn Campaign Fund,10973
802271849850801,Freedom for All Americans,Freedom for All Americans,602
114147563346577,The Paleoconservative,Eric Lance Mccain,≤100
56661991371,Woods Hole Oceanographic Institution (WHOI),Woods Hole Oceanographic Institution,≤100
106760600665063,Judge Sam Terry for Circuit Court,"Paris Marketing & Public Relations, LLC",≤100
160238810685333,Black Austin Democrats,Rashida Waterlyn Wright,≤100
529741454039891,Taste Plants,These ads ran without a disclaimer,≤100
322194751726887,Rep. Russ Fulcher,The Office of Congressman Russ Fulcher,≤100
350607023760,Relatively Interesting.com,These ads ran without a disclaimer,≤100
201476256661304,"Randy Williamson for Southlake City Council, Place 6",Mark R Williamson,≤100
455644105230168,Gregory J Davis,These ads ran without a disclaimer,≤100
108906707265489,USA Pooch,"PRESIDENTIAL POOCH, INC",303
1434793590124759,Evonomics: The Next Evolution of Economics,Evonomics,≤100
765736926911400,New Sheriff In Town,These ads ran without a disclaimer,≤100
219198242350576,Team Burningham,Burningham for Governor,≤100
47710973068,Cooperative Action Network,National Rural Electric Cooperatives Association,442
346554136192562,Michael's Law,These ads ran without a disclaimer,≤100
169493296457235,David Biga,David Gregory Biga,≤100
100201718042226,Cory Eli Oshita for Cook County Circuit Judge,Support Cory Eli Oshita for Circuit Court Judge,≤100
235439856474806,Food Bank of Iowa,Food Bank of Iowa,≤100
158498624807677,trump2020swag.com,trump2020swag,≤100
921032758051821,Pine Ridge British Labradors,These ads ran without a disclaimer,≤100
103244481102442,Theluckyblues group,These ads ran without a disclaimer,≤100
1707785832769621,Latinos For Education,These ads ran without a disclaimer,≤100
113288226728914,"Joseph Robeson for Justice of the Peace - Precinct 1, Place 1",Joseph Robeson Campaign,1896
243795232247,Mennonite Central Committee - MCC,MENNONITE CENTRAL COMMITTEE U.S.,≤100
561902610847292,sea.citi,SEATTLE INITIATIVE THROUGH TECHNOLOGY AND INNOVATION,≤100
102906924534990,Justice4Xavier,These ads ran without a disclaimer,≤100
109765040588631,Health Express,Sheena Nicole Reid,666
176548369099092,Barbara Lee,BARBARA LEE FOR CONGRESS,121
110637223760375,Lemondad shop,These ads ran without a disclaimer,≤100
