Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
335622537112960,Erin for DA,Erin Martinson for DA,889,4
336481847032355,Judge Michael Alan Strom for 9th Subcircuit,Committee to Elect Judge Michael Strom,888,2
119231578091351,"Dubuque County Right to Life, Inc.",DUBUQUE COUNTY RIGHT TO LIFE,888,1
100287418232737,Manuel for Washington County,Manuel for Washington County,888,6
101401179944527,Mona Foundation,MONA FOUNDATION,888,16
1485046298224624,Betsy Sweet,SWEET FOR SENATE,887,4
2121981971203546,Judge Adam Weeks for Circuit Court,Committee to Elect Judge Adam Weeks,887,7
530628950745171,Vote In Or Out,Lisa Chin Mollica,887,26
292763860751415,Judge Missy Medary,Mary Koehler Mc Donald Medary,887,16
7835151610,Carolyn B. Maloney,MALONEY FOR CONGRESS,886,61
170143182874,Run for Clean Air,DELAWARE VALLEY CITIZENS COUNCIL FOR CLEAN AIR,885,8
1993714917617167,Right Now MN,Right Now MN,885,5
196156347404415,"Will O'Neill, Newport Beach Mayor",O’Neill for City Council 2020,884,1
100322864803366,Susan Sample for  Harris County Precinct 3 Commissioner,Susan Sample Campaign,883,9
436865753096340,MRC Latino,MEDIA RESEARCH CENTER,883,3
111026973816306,Jaclyn Corriveau for Republican State Committee,Red Massachusetts Grassroots Action,883,3
104214014457850,Daily Deal Grabs,Tasha Nicole Herbert,883,26
1510835819221919,Ryan Chamberland - Republican State Committeeman,Red Massachusetts Grassroots Action,883,4
100106931449653,Suzanne LaFrance for Assembly,Suzanne LaFrance for Assembly,882,20
409179052515324,Forrest Dunbar,Forrest for Mayor,882,10
154269528015922,Byron Donalds,Byron Donalds for Congress,882,3
108899293819186,Women Win Ohio,WOMEN WIN,881,2
1506878586283418,Gary Bradford - Yuba County Supervisor,Bradford for Supervisor 2020,881,17
2003098323047370,"Hugo Argumedo, Councilmember",Friends of Hugo Argumedo for Council 2020,881,27
622058884897594,Yes for 220,Yes for 220,881,5
174906450115239,Inland Empire Business Alliance,Inland Empire Business Alliance PAC,881,2
458796621183564,Calen Studler for Kentucky State Senate,"Studler For Kentucky, Jennifer Lucas Treasurer",879,64
149608895080801,Archdiocese of Kansas City in Kansas,Yellow Line Productions LLC,877,116
1800788176886636,Linda Deos for Yolo County Supervisor 2020,Linda Deos for Davis City Council 2018 (ID# 1399312),877,30
172696189433474,The Great Courses,These ads ran without a disclaimer,877,22
42249842091,HostGator,These ads ran without a disclaimer,876,2
21090771700,Gun Owners of America,Gun Owners of America,876,15
104400234337764,Math PAC,MATH PAC,876,2
2390903244262437,Jace Roberts for District Court Judge,Elect Jace Roberts District Judge Campaign,875,5
228684130482201,Delegate Michael J. Webert,Michael Webert For Delegate,875,2
1044134125671352,Prescription Justice,Prescription Justice Action Group,875,16
957641814627684,Collaborative Imaging,Collaborative Imaging LLC,874,9
177067648929,SEMO Food Bank,Southeast Missouri Food Bank,874,3
363645877361625,New Mexico Working Families Party,ABQ Working Families Party MFC,874,17
165476133821881,Stand Together Foundation,Stand Together Foundation,873,30
91396988467,Republican Party of Texas,Republican Party of Texas,872,4
2580750575289726,Raise the Bar on Resident Care,SEIU Healthcare 1199NE,871,18
153408513065,Democratic Party of Jefferson County (Wisconsin),Democratic Party of Jefferson County (Wisconsin),871,14
210368456477,Vermont Natural Resources Council (VNRC),Vermont Natural Resources Council,871,19
396704010667760,Jonathan Fleming for San José City Council District 2 2020,Fleming for SJ City Council D2 2020,870,4
336031197285623,Anita Reynolds Howard for District Attorney of the Macon Judicial Circuit,George Mcgoy Gordon,870,3
112235732143274,Glacier National Park Conservancy,Michael Robert Cantafio,870,8
105413724336286,Latest News Headlines,Tamika Lawanda Hines,870,1
491362440908122,The Beer Institute,These ads ran without a disclaimer,870,1
9316287847,Kansas Republican Party,KANSAS REPUBLICAN PARTY,870,13
345751305447288,Daugherty Water for Food Global Institute,Daugherty Water for Food Global Institute,870,21
103594351027888,Love Your OKC - Yes for MAPS Dec. 10,Love Your OKC Coalition,870,6
1550724111880347,HEAL California,California OneCare Education Fund,868,18
111945553601129,Trump2020 Coffee,Trump2020 Coffee,868,3
286051644800463,Todd Harris for Surry County Register of Deeds 2020,William Todd Harris,868,15
105010944394779,American Debt Solution,Alexis Travieso,867,180
8145161702,Lambda Legal,"LAMBDA LEGAL DEFENSE & EDUCATION FUND, INC.",867,4
105836824266252,TORAH from SINAI,These ads ran without a disclaimer,867,11
58709265392,Americans United for Separation of Church and State,AMERICANS UNITED FOR SEPARATION OF CHURCH & STATE,867,8
1484832081831740,Re-Elect Mayor Lucy Vinis,Re-Elect Mayor Lucy Vinis,867,38
115525519830230,ישראל שלנו - Israel Shelanu,Yaakov Cohen,866,12
102991597843834,Sean Villasana - for State Representative House District 119,Sean Villasana Campgain,866,9
287789785155313,State Representative Danny McCormick,Elect Danny Mccormick,866,11
26668999076,The Cato Institute,"CATO INSTITUTE, INC.",865,5
101344558026560,Chad Miner for Judge,Committee to Elect Chad M. Miner for Judge,865,25
60261764250,Childhelp,These ads ran without a disclaimer,865,1
32252997166,American Dental Association,American Dental Association,864,11
103355354485697,Fernando Garcia For Congress,Fernando Garcia,864,27
323631667743052,Rep. Rodney Davis,U.S. Rep. Rodney Davis,864,5
135403453167990,Texas Veterans Commission,Texas Veterans Commission,863,4
2529497923944693,Washington Ambulance Association,These ads ran without a disclaimer,863,2
116327696157,Dan Cronin,Citizens for Dan Cronin,863,17
392604404866596,Denise Francis Woods - Los Angeles City Council District 8,Denise Francis Woods,863,56
102173767897285,"Mitchell Oster for Democratic Party Central Committee Member, District 4",Mitchell Herman Oster,862,5
116749051688682,"Krav Maga Worldwide - Pompano Beach / Fort Lauderdale, Florida","Krav Maga Worldwide - Pompano Beach/Fort Lauderdale, Florida",862,4
101502357891185,The Southern California Record,The Record,862,22
224058138586,Greater Fort Lauderdale Alliance,These ads ran without a disclaimer,861,6
502849966435509,Elect Lauren Brougham Glennon for Judge,Committee to Elect Lauren Brougham Glennon for Judge,860,15
534488750036661,"Ohio Value Voters, Inc.","Ohio Value Voters, Inc.",860,21
22984054572,Numi Organic Tea,Numi Organic Tea,860,12
136651089756269,Stonewall Democratic Club,Stonewall Democratic Club,859,8
111797416942615,Vote for Roads,Vote for Roads. Vote for Issue 1,859,12
664770743730817,Dan Feehan for Congress,FRIENDS OF DAN FEEHAN,859,56
191561687596446,Wisconsin Institute for Law & Liberty,Wisconsin Institute for Law & Liberty,859,13
2173186806327432,Retire University,These ads ran without a disclaimer,859,3
240615190244,Young Invincibles,Young Invincibles,858,24
1482947308676311,Topdust,cleancult,856,14
116945146375650,Christi Jacobsen,Christi Jacobsen for Montana,855,2
116515020980,Free Speech TV,Public Communicators Inc.,855,12
809836039361670,Congressman Kelly Armstrong,Office of Congressman Kelly Armstrong,855,5
53364530722,The Center for Public Integrity,"CENTER FOR PUBLIC INTEGRITY, THE",855,9
8815573924,Utah Food Bank,UTAH FOOD BANK,854,11
72458613201,Earth Shoes,Edward Michael Gazarian,854,1
100642975136,Vital Voices,These ads ran without a disclaimer,854,2
1002289613277091,LOCAL Maryland,These ads ran without a disclaimer,853,2
160750304063986,Washington Housing Alliance Action Fund,Washington Housing Alliance Action Fund,853,4
1777014965674974,James Tulp,JAMES TULP FOR MISSISSIPPI,853,10
108506830560787,Jessica Scarane,JESS SCARANE FOR DELAWARE,853,33
1156426531205011,Mailboxmascots,Jonathan Hall,853,37
217001931975825,Elevation,Elevation,853,7
154159187932754,"Magellan Financial & Insurance Services, Inc",Magellan Financial & Insurance Services,852,6
807413476285845,Prism,Prism,852,25
346635392021104,Representative Greg Stanton,Office of Rep. Greg Stanton,852,9
2260015870892436,Jeremy Cooney,Friends of Jeremy Cooney,852,13
106503487393272,Ayala-Gonzalez for Judge 2020,Friends of Laura Ayala-Gonzalez,852,35
413624532105681,Collin County Republican Party,Collin County Republican Party,852,18
143997159044012,Ed Hanes for NC,Ed Hanes Jr For North Carolina,851,119
110810997115867,Soil and Climate,These ads ran without a disclaimer,851,4
136660673014445,Your California Ford,Valerie Kay Jennings,851,9
105849717625995,Ben Sigel for Congress,BEN SIGEL FOR CONGRESS,850,3
334184263904585,Tim McNeese for District 1,Friends of Tim McNeese,850,3
51533142540,Public Advocate of the U.S.,PUBLIC ADVOCATE OF THE US,850,14
433125397034848,Dan O'Neill,Friends of Dan O'Neill,850,1
111993496879855,Committee to Elect Dan Hobart,Committee to Elect Dan Hobart,850,2
105278394175506,Stephanie for New Jersey,Stephanie For New Jersey,850,3
214109952097486,Keep Bryan Beavers Kaufman County Sheriff,Bryan Wallace Beavers,850,36
362597400470914,Shamann Walton 華頌善,Shamann Walton for Democratic Central Committee 2020 • FPPC ID# 1422994• Financial disclosures available at SF Ethics,850,3
103078457827783,Erica Tisinger for State Court Judge,Friends of Erica Tisinger,850,6
258608927507241,Commissioner Vince Perez,Vince Perez for County Commissioner Campaign,850,5
159957123994,Oklahoma City Thunder,These ads ran without a disclaimer,850,3
104111664492254,Auto Saving Tips,Alexis Travieso,850,208
304601243369663,Scott Huffman for Congress,Huffman for NC,850,14
1914537155242810,Life: Powered,Texas Public Policy Foundation,850,22
164142423691128,Vern Eide of Mitchell,Vision Video Interactive,850,1
731856273581488,Lift Louisiana,Lift Louisiana,850,5
122112697803902,Stone Seed,Stone Seed,849,16
199656733991290,Hudson Valley Community Power,"Joule Assets, Inc.",849,15
102424843756,Pathways for Exceptional Children,"Pathways for Exceptional Children, Inc.",848,31
107906350576063,Scott Sales,Sales for Montana,848,4
227385377272285,Brawny Towels,These ads ran without a disclaimer,847,20
112079853689170,Sharp Spender,SharpSender.com,847,24
162069790604,AARP Arizona,AARP,846,7
166263294810,Everett Gospel Mission,EVERETT GOSPEL MISSION,845,4
215199482635728,Alek Skarlatos,ALEK FOR OREGON,845,96
675471506247724,Adair for Congress,ADAIR FOR CONGRESS,845,11
122640451135546,Stephany Rose Spaulding for Senate,Committee to Elect Stephany Rose Spaulding,844,65
103817564565798,Sound Home Savings,Alexis Travieso,843,233
100607068206056,Committee For A Qualified Judiciary,Committee For A Qualified Judiciary,842,18
164779816968453,Madison/St. Clair Record,The Record,842,28
427894490587758,Democrats Need to Vote,Democrats Need to Vote,841,37
840294032990208,Elect Jamie Lake for Tuscaloosa Co BOE#2,James Galen Lake,841,42
110045903697438,Debra Lamm for Congress,Lamm for Congress,841,4
1578564045721928,Senator Jim Runestad,State Senator Jim Runestad,841,79
76148007941,Silicon Valley Leadership Group,"SILICON VALLEY LEADERSHIP GROUP, THE",841,12
267057140044264,Mark Hass,Mark Hass,841,67
1438553336457672,Fair Housing Council of Greater San Antonio,These ads ran without a disclaimer,840,2
2016915675205732,Say Yes Cleveland,Say Yes Cleveland Scholarship Inc,840,3
118644469544491,Ron Mau - NC House 119,Friends of Ron Mau,840,30
345011032203002,Cedar Rapids Metro Economic Alliance,Cedar Rapids Metro Economic Alliance,839,10
129159563777523,Conservancy of Southwest Florida,ST OF FL CONSERVANCY OF S,839,39
103131054573692,Crawfordology,Crawfordology,839,11
112253170317081,Jay Hart for State Representative District 58,Jason Lee Hart,839,9
159190060784796,Broward Sheriff's Office,The Broward Sheriff's Office,839,4
1424473931020223,Senator Adam Hollier,Senator Adam Hollier,839,2
896759427103774,Modern Medicaid Alliance,Modern Medicaid Alliance,838,10
409791919584117,Stephanie Rimmer for Congress - AZ06,STEPHANIE RIMMER FOR CONGRESS,838,39
2033513983347996,Smart Retirement Tax,These ads ran without a disclaimer,838,4
106253040942166,Realtors for Porter,National Association of REALTORS,838,7
349355948501471,Judge Otto Campanella,The Committee to Elect Judge Otto Campanella,837,109
110588470466311,Bill Redwine for State Representative,Bill Redwine for State Representative,837,8
1377749459221033,MO Electric Co-ops,MO Electric Co-ops,837,15
173380886407461,Team Amash,JUSTIN AMASH FOR CONGRESS,836,8
299030337168976,Commissioner Angelo Castillo,"Angelo Castillo, Non-Partisan, for Pembroke Pines Mayor",836,10
111921897029289,"Wayne Meadows, Candidate for Appoquinimink School Board",Wayne Edward Meadows,836,12
309660569121570,"Mitch O'Connell, The World's Best Artist! By Mitch O'Connell",Mitchell R O Connell,836,16
273223673607541,Sandy Springs Together,Sandy Springs Together,835,22
233247763926518,Ivory Parke,These ads ran without a disclaimer,835,20
291819009067,AARP Puerto Rico,AARP,835,24
112599763554635,Goodwin for District Court Judge,Anna Morrison Goodwin,835,18
28144169620,Alliance for Aging Research,Alliance for Aging Research,834,18
110647937109083,Vote Rheunte E. Benson General Sessions Clerk 2020,Rheunte Eshun Benson,834,11
286765578022499,Scobar,Scott M Barber,833,5
282186495263127,Drew Darby for Texas,Drew Darby Campaign,833,6
600586826997422,Anita For Arizona,ANITA FOR ARIZONA,832,20
109796593715673,Karen Ickes for San Bernardino County Board Of Supervisor 3rd District,Karen Dawn Ickes,832,26
